id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_pollpagestatus","PollPageStatus → ReadCookie","PollPageStatus → ReadCookie","cross_community",7,"['comm_73','comm_74']","Function:frontend/lib/api/pages.ts:pollPageStatus","Function:frontend/lib/api/client.ts:readCookie"
"proc_1_pollpagestatus","PollPageStatus → WriteCookie","PollPageStatus → WriteCookie","cross_community",7,"['comm_73','comm_74']","Function:frontend/lib/api/pages.ts:pollPageStatus","Function:frontend/lib/api/client.ts:writeCookie"
"proc_2_pollpagestatus","PollPageStatus → ClearCookie","PollPageStatus → ClearCookie","cross_community",7,"['comm_73','comm_74']","Function:frontend/lib/api/pages.ts:pollPageStatus","Function:frontend/lib/api/client.ts:clearCookie"
"proc_3_export_docx","Export_docx → Node_text","Export_docx → Node_text","cross_community",6,"['comm_16','comm_66','comm_17']","Function:backend/app/api/v1/endpoints/exports.py:export_docx","Function:backend/app/services/tiptap_service.py:node_text"
"proc_4_export_pdf","Export_pdf → Node_text","Export_pdf → Node_text","cross_community",6,"['comm_16','comm_66','comm_17']","Function:backend/app/api/v1/endpoints/exports.py:export_pdf","Function:backend/app/services/tiptap_service.py:node_text"
"proc_5_logout","Logout → ReadCookie","Logout → ReadCookie","cross_community",6,"['comm_74','comm_73']","Function:frontend/lib/api/auth.ts:logout","Function:frontend/lib/api/client.ts:readCookie"
"proc_6_logout","Logout → WriteCookie","Logout → WriteCookie","cross_community",6,"['comm_74','comm_73']","Function:frontend/lib/api/auth.ts:logout","Function:frontend/lib/api/client.ts:writeCookie"
"proc_7_logout","Logout → ClearCookie","Logout → ClearCookie","cross_community",6,"['comm_74','comm_73']","Function:frontend/lib/api/auth.ts:logout","Function:frontend/lib/api/client.ts:clearCookie"
"proc_8_triggerllmcorrection","TriggerLlmCorrection → ReadCookie","TriggerLlmCorrection → ReadCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/corrections.ts:triggerLlmCorrection","Function:frontend/lib/api/client.ts:readCookie"
"proc_9_triggerllmcorrection","TriggerLlmCorrection → WriteCookie","TriggerLlmCorrection → WriteCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/corrections.ts:triggerLlmCorrection","Function:frontend/lib/api/client.ts:writeCookie"
"proc_10_triggerllmcorrection","TriggerLlmCorrection → ClearCookie","TriggerLlmCorrection → ClearCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/corrections.ts:triggerLlmCorrection","Function:frontend/lib/api/client.ts:clearCookie"
"proc_11_triggerocr","TriggerOcr → ReadCookie","TriggerOcr → ReadCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/ocr.ts:triggerOcr","Function:frontend/lib/api/client.ts:readCookie"
"proc_12_triggerocr","TriggerOcr → WriteCookie","TriggerOcr → WriteCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/ocr.ts:triggerOcr","Function:frontend/lib/api/client.ts:writeCookie"
"proc_13_triggerocr","TriggerOcr → ClearCookie","TriggerOcr → ClearCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/ocr.ts:triggerOcr","Function:frontend/lib/api/client.ts:clearCookie"
"proc_14_register","Register → ReadCookie","Register → ReadCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:register","Function:frontend/lib/api/client.ts:readCookie"
"proc_15_register","Register → WriteCookie","Register → WriteCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:register","Function:frontend/lib/api/client.ts:writeCookie"
"proc_16_register","Register → ClearCookie","Register → ClearCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:register","Function:frontend/lib/api/client.ts:clearCookie"
"proc_17_login","Login → ReadCookie","Login → ReadCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:login","Function:frontend/lib/api/client.ts:readCookie"
"proc_18_login","Login → WriteCookie","Login → WriteCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:login","Function:frontend/lib/api/client.ts:writeCookie"
"proc_19_login","Login → ClearCookie","Login → ClearCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:login","Function:frontend/lib/api/client.ts:clearCookie"
"proc_20_me","Me → ReadCookie","Me → ReadCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:me","Function:frontend/lib/api/client.ts:readCookie"
"proc_21_me","Me → WriteCookie","Me → WriteCookie","cross_community",6,"['comm_73','comm_74']","Function:frontend/lib/api/auth.ts:me","Function:frontend/lib/api/client.ts:writeCookie"
