id,name,filePath,responseKeys,errorKeys,middleware
"Route:/users","/users","backend/app/api/v1/endpoints/admin.py","[]","[]","[]"
"Route:/users/{user_id}","/users/{user_id}","backend/app/api/v1/endpoints/admin.py","[]","[]","[]"
"Route:/history","/history","backend/app/api/v1/endpoints/admin.py","[]","[]","[]"
"Route:/dashboard","/dashboard","backend/app/api/v1/endpoints/admin.py","[]","[]","[]"
"Route:/register","/register","backend/app/api/v1/endpoints/auth.py","[]","[]","[]"
"Route:/login","/login","backend/app/api/v1/endpoints/auth.py","[]","[]","[]"
"Route:/refresh","/refresh","backend/app/api/v1/endpoints/auth.py","[]","[]","[]"
"Route:/logout","/logout","backend/app/api/v1/endpoints/auth.py","[]","[]","[]"
"Route:/dev-login","/dev-login","backend/app/api/v1/endpoints/auth.py","[]","[]","[]"
"Route:/by-page/{page_id}","/by-page/{page_id}","backend/app/api/v1/endpoints/corrections.py","[]","[]","[]"
"Route:/by-page/{page_id}/final-text","/by-page/{page_id}/final-text","backend/app/api/v1/endpoints/corrections.py","[]","[]","[]"
"Route:/{correction_id}/keep","/{correction_id}/keep","backend/app/api/v1/endpoints/corrections.py","[]","[]","[]"
"Route:/{correction_id}/undo","/{correction_id}/undo","backend/app/api/v1/endpoints/corrections.py","[]","[]","[]"
"Route:/bulk","/bulk","backend/app/api/v1/endpoints/corrections.py","[]","[]","[]"
"Route:/","/","backend/app/api/v1/endpoints/documents.py","[]","[]","[]"
"Route:/{doc_id}","/{doc_id}","backend/app/api/v1/endpoints/documents.py","[]","[]","[]"
"Route:/{doc_id}/ui-state","/{doc_id}/ui-state","backend/app/api/v1/endpoints/documents.py","[]","[]","[]"
"Route:/documents/{doc_id}/export/docx","/documents/{doc_id}/export/docx","backend/app/api/v1/endpoints/exports.py","[]","[]","[]"
"Route:/documents/{doc_id}/export/pdf","/documents/{doc_id}/export/pdf","backend/app/api/v1/endpoints/exports.py","[]","[]","[]"
"Route:/pages/{page_id}/ocr","/pages/{page_id}/ocr","backend/app/api/v1/endpoints/ocr.py","[]","[]","[]"
"Route:/pages/{page_id}/tiptap","/pages/{page_id}/tiptap","backend/app/api/v1/endpoints/ocr.py","[]","[]","[]"
"Route:/pages/{page_id}/denoise","/pages/{page_id}/denoise","backend/app/api/v1/endpoints/pages.py","[]","[]","[]"
"Route:/documents/{doc_id}/pages","/documents/{doc_id}/pages","backend/app/api/v1/endpoints/pages.py","[]","[]","[]"
"Route:/pages/{page_id}","/pages/{page_id}","backend/app/api/v1/endpoints/pages.py","[]","[]","[]"
"Route:/pages/{page_id}/status","/pages/{page_id}/status","backend/app/api/v1/endpoints/pages.py","[]","[]","[]"
"Route:/pages/{page_id}/download","/pages/{page_id}/download","backend/app/api/v1/endpoints/pages.py","[]","[]","[]"
"Route:/pages/{page_id}/llm-correction","/pages/{page_id}/llm-correction","backend/app/api/v1/endpoints/restoration.py","[]","[]","[]"
"Route:/uploads/signature","/uploads/signature","backend/app/api/v1/endpoints/uploads.py","[]","[]","[]"
"Route:/documents/{doc_id}/pages/register-upload","/documents/{doc_id}/pages/register-upload","backend/app/api/v1/endpoints/uploads.py","[]","[]","[]"
"Route:/me","/me","backend/app/api/v1/endpoints/users.py","[]","[]","[]"
"Route:/healthz","/healthz","backend/app/main.py","[]","[]","[]"
